 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|busroutes
 bangalore|north-4|khudregere|32675|GKLPS THAMMENAHALLI PALYA|Lower Primary|co-ed|kannada|Chikka Banavara Post, Dasanapura Hobli, Bangalore North|Thammenahalli Palya|560090|Infront Thammenahalli Palya Bus Stop|248M
 bangalore|anekal|hebbagodi|32707|GKHPS RAMASAGARA|Lower Primary|co-ed|kannada|Chandapura To Dommasandra Road, Chandapura Post, Anekal Taluk, Bangalore|Ramasagara|560081|Near Ramasagara Bus Stop And Near Ashwath Katte|0
 bangalore|north-4|rajanakunte|32782|GKMPS BETTAHALASURU|Upper Primary|co-ed|kannada|Bettahalasuru Post, Jala Hobli, Bangalore|Bettahalasuru|562157|Infront Muttyalamma Temple|283, 407 L
 bangalore|south-2|arundhathinagar|33077|GKHPS MUDALAPALYA|Upper Primary|co-ed|kannada|9th F Main Road, Sri Chowdappa Road, Bangalore|Moodalapalya|560072|Opposite Moodalapalya B.B.M.P Office|238, 235 A, 235 B, 235 C, 235
 bangalore|north-1|ullalupanagara|33270|GKHPS HOSAHALLIGOLLARAPALYA|Upper Primary|co-ed|kannada|Magadi Main Road, Vishwaneedam Post, Yeswanthpura Hobli|H.Gollara Palya|560091|Opposite Gollara Halli Bus Stop|
 bangalore|south-2|chamarajpet|32134|GUMPS CHAMARAJPET|Model Primary|co-ed|urdu||bangalore|560018|masjid  school|
 bangalore|north-4|yelehanka old town|32936|GKHPS YELAHANKA BEO OFFICE|Upper Primary|co-ed|kannada||bangalore|560064||
 bangalore|north-4|yelehanka new town|32880|GKHPS ALLALASANDRA|Upper Primary|co-ed|kannada||bangalore|560064|near patalamma temples|
 bangalore|north-4|t dasarahalli|32832|GKLPS SIDADHAHALLI|Lower Primary|co-ed|kannada|||560073|bus stop near and one big tree|
 bangalore|north-4|abbigere|33233|GULPS MEDIAGRAHARA|Lower Primary|co-ed|urdu|Vidyaranyapura post,hesaragatta road, yelahanka hobli|Mediagrahara|560097||266M
 bangalore|north-4|mathahalli|33234|GKHPS BETHANAGERE|Upper Primary|co-ed|kannada|Huskuru Post, Dasanpura Hobli, N-4|Betanagere|562123|Near Betanagere Bus Stop|255 A, 255 B, 255 D
 bangalore|north-4|agrahara layout|33223|GUHPS KOGILU LAYOUT|Lower Primary|co-ed|urdu|Bande Road, Yelahanka Post|Kogilu Layout|560064|Near Brick Factory|290E
 bangalore|north-4|abbigere|33232|GKHPS VADERAHALLI|Upper Primary|co-ed|kannada|Vidyaranyapura post,hesaragatta road|Vderahalli|560097||266,E,K,M,F
 bangalore|north-4|byatarayanapura|32169|GKHPS GOVINDAPURA|Upper Primary|co-ed|kannada|Arabic College Post|Govindapua|560045|Near Samudaya Bhavana|290 J
 bangalore|north-4|byatarayanapura|32177|GKLPS VEERANNANA PALYA|Lower Primary|co-ed|kannada|Arabic College Post|Veerannapalya|560045|Near Lubmini Garden & Opposite Little Glady's Public School|500, 600
 bangalore|north-4|byatarayanapura|32184|GUMPS NAGAVARA|Upper Primary|co-ed|urdu|Nagawara Main Road, Ummer Nagar, Arabic College Post|Nagawara|560045|Opposite Ummer Masjid|290, 291, T4
 bangalore|north-4|dodda bylagere|32280|GKHPS IVARAKANDAPURA|Upper Primary|co-ed|kannada|Hesaraghatta Lake Post, Hesaraghatta Hobli||560089|Near Ivarakandapura Bus Stop|
 bangalore|north-4|dodda bylagere|32286|GKLPS KALATHAMMANAHALLI|Lower Primary|co-ed|kannada|Shivakote Post, Hesaraghatta Hobli|Kalathammanahalli|560089|Near Kalathammanahalli Bus Stop|254 C
 bangalore|north-4|dodda bylagere|32287|GKLPS KASAGHATTAPURA|Lower Primary|co-ed|kannada|Shilubepura Post|Kasaghattapura|560090|Opposite Kasaghattapura Bus Stop|254 C, 254 A
 bangalore|north-4|dodda bylagere|32288|GKLPS KEMPAPURA|Lower Primary|co-ed|kannada|Chikka Banavara Post|Kempapura|560090|Near Kempapura Bus Stop|254 E, 254 D
 bangalore|north-4|dodda bylagere|32292|GUHPS CHIKKABANAVARA|Upper Primary|co-ed|urdu|Chikkabanavara Post, N-4|Chikkabanavara|560090|Behind Chikkabanavara Bus Stop|250 A, 250 Z
 bangalore|north-4|hesarghatta|32370|GKHPS SHIVAKOTE|Upper Primary|co-ed|kannada|Shivakote Post, Hesaraghatta Hobli|Shivakote|560089|Next Ashwath Katte|407, 407 B, 407 C, 266, 266 E, 266 G
 bangalore|anekal|bannerughatta|32325|GKHPS SAKALAWARA|Lower Primary|co-ed|kannada|Sakalavara Post, Jigani Hobli, Anekal Taluk, Bangalore|Sakalavara|560083|Opposite Gangamma Temple|365 G, 367
 bangalore|anekal|bannerughatta|32326|GKLPS AMRUTHNAGAR|Lower Primary|co-ed|kannada|Anjanapura Post, Jignai Hobli, Anekal Taluk|Amruth Nagar|560076|Near Amruth Nagar Bus Stop|215Z
 bangalore|south-3|yellukunte|32647|GKMPS BOMMANAHALLI|Model Primary|co-ed|kannada|Bommanahalli Post, South - 3, Begur Hobli|Bommanhalli|560068|Opposite Bommanahalli Bus Stop|360, 365, 341, 347
 bangalore|south-1|karisandra|32973|GKHPS SARAKKI|Upper Primary|co-ed|kannada|13th Cross, J.P.Nagar 1st Phase, Bangalore|Sarakki|560078|Opposite Sarakki Anjaneya Swamy Temple & Near B.B.M.P.Office|
 bangalore|south-1|karisandra|32976|GULPS KARISANDRA|Lower Primary|co-ed|urdu|B.S.K.2nd Stage 2nd Cross  yarab nagar main road|karisandra|560070|Near karisandra Tele phone Exchange|
 bangalore|south-1|karisandra|32972|GKHPS MARENAHALLI|Upper Primary|co-ed|kannada|6th Main Road, Jayanagar 4th T Block, Tank Bund Road, Bangalore|Marenahalli|560078|Beside Rajarajeshwari Devi Temple|
 bangalore|south-3|byarsandra|32137|GKHPS PUTTAYANAPALYA|Upper Primary|co-ed|kannada|39th Cross, 26th Main Road, Puttayana Palya, Jayanagar 9th Block, Bangalore|Puttayana Palya|560069|Near Noorani Masjid|24, 25, 60, 60 A
 bangalore|south-3|byarsandra|32141|GULPS PUTTAYANAPALYA|Lower Primary|co-ed|urdu|39th Cross, 26th Main Road, Puttayana Palya, Jayanagar 9th Block, Bangalore|Puttayana Palya|560069|Behind Noorani Masjid|24, 25, 60, 60 A
 bangalore|south-3|madivala|32557|GKMPS TAVAREKERE|Model Primary|co-ed|kannada|1st Main Road, 1st Cross, DRC College Post, Bangalore|Tavarekere|560029|Near Government Hospital|168
 bangalore|south-3|madivala|32555|GKMPS MADIVALA|Model Primary|co-ed|kannada|Hosur Main Road, Bangalore|Madiwala|560068|Near Madiwala Bus Stop|0
 bangalore|south-3|byarsandra|32142|GUMPS OLD GURAPPANAPALYA|Model Primary|co-ed|urdu|2nd Main Road, Maruthi Layout, BTM Layout 1st Stage, Madarsab Layout|BTM Layout|560029|Near Uviversal Medical And General Store|
 bangalore|south-3|yediur|33108|GKLPS MARIYAMMA TEMPLE|Lower Primary|co-ed|kannada|Garuda Swagath Mall Road, 30th Cross, 8th Main Road, 3rd Block Jayanagar|Tilak Nagar|560041|Near Sri Garuda Swagath Mall|0
 bangalore|south-1|basavanagudi|32338|GKHPS KANAKANAPALYA|Lower Primary|co-ed|kannada|8th Main Road, 2nd Block, Jayanagar, Bangalore|Kanakana Palya|560011|Near Ashoka Pillar|
 bangalore|south-3|byarsandra|32145|GKHPS LAKKASANDRA|Upper Primary|co-ed|kannada|3rd Main Road, 3rd Cross, Lakkasandra, Adugodi Post, Bangalore|Lakkasandra|560030|Near Lakkasandra Bus Stop|500, 501, 171, 347
 bangalore|south-3|lalbagh siddapura|33114|GUMPS TANK GARDEN|Model Primary|co-ed|urdu|1st Main Road, Someshwara Nagar Main Road, Jayanagar 1st Block, Bangalore|Dayanand Slum|560011|Building Inside Masjid-E-Ateeq|
 bangalore|south-3|lalbagh siddapura|33112|GKHPS LALBAGH SIDDAPURA|Upper Primary|co-ed|kannada|J.C.Colony, 1st Block, Jayanagar, Lalbagh South Gate, Bangalore|Lalbagh Siddapura|560011|Near Lalbagh South Gate|0
 bangalore|south-3|lalbagh siddapura|33121|GULPS VINAYAKANAGAR (GOTTIGERE)|Lower Primary|co-ed|urdu|1st Main Road, 4th Cross, Vinayaka Nagar, Adugodi Post, Bangalore|Vinayaka Nagar|560030|Building Inside Madeena Masjid|
 bangalore|south-2|chamarajpet|32127|GKMPS CARP LANE|Model Primary|co-ed|kannada|Mysore Road, Bangalore|C.R.P.Lane|560018|Opposite Vinayaka Theatre Bus Stop|155, T4, 56
 bangalore|north-3|vasanthnagar|33139|GKHPS SAMPANGI RAM NAGAR|Upper Primary|co-ed|kannada|6th Main Road,6th Cross,Bangalore|Sampangiram Nagar|560027|Behind Pallavi Theatre|
 bangalore|north-3|vasanthnagar|33146|GULPS VACCIN INSTITUTION|Lower Primary|co-ed|urdu|6th Main Road,6th Cross,Bangalore|Sampangiram Nagar|560027|Compound Inside GKHPS Sampangiram Nagar|
 bangalore|south-2|govindarajnagar|33086|GUHPS HOSAHALLI|Upper Primary|co-ed|urdu|Magadi Main Road, Toll Gate, 7th Cross|Hosahalli|560040|Near Magadi Road Toll Gate Bus Stop|
 bangalore|south-2|k p agrahara|32347|GKHPS K.P.AGRAHARA|Upper Primary|co-ed|kannada|2nd Cross, Magadi Road, Bangalore|K.P.Agrahara|560023|Beside B.W.S.S.B Water Tank (Magadi Road)|240, 241, 77
 bangalore|north-2|sriramapura|32366|GUHPS GOPALPURA|Upper Primary|co-ed|urdu|#22/1, 3rd Cross, Mosque Street, New Cross Road, Magadi Road, Gopalapura, Bangalore|Gopalapura|560023|Near Masjid-E-Noor|240, 241, 77
 bangalore|north-2|sriramapura|32364|GKLPS UKKADAPALYA|Lower Primary|co-ed|kannada|Gopalapura, 2nd Cross, Magadi Road, Bangalore|Gopalapura|560023|Beside Gopalapura Police Outpost & Near Kodandarama Swamy Temple|240, 241, 77
 bangalore|north-2|malleswaram|33170|GKLPS HANUMANTHAPURA|Lower Primary|co-ed|kannada|Okalipuram, 5th Main Road, Srirampuram, Bangalore|Okalipuram|560021|Beside Ayyappa Swamy Temple|52E
 bangalore|north-2|sriramapura|32367|GUHPS RAMACHANDRAPURA|Upper Primary|co-ed|urdu|4th Main Road, 4th Cross, Munawar Mahalla, Bangalore|Ramachandrapura|560021|Compound Inside Munawar Mahalla Masjid|61, 62
 bangalore|north-2|sriramapura|32365|GTLPS Q BLOCK|Lower Primary|co-ed|tamil|Q Block, 7th Cross, Srirampura Main Road, Bangalore|Srirampura|560021|Near Seva Ashrama School|52
 bangalore|north-2|prakashnagara|33189|GKMPS PRAKASHNAGARA|Model Primary|co-ed|kannada|Prakash Nagar Main Road, 3rd Main Road, Bangalore|Prakash Nagar|560021|Near Ayyappa Swamy Temple|
 bangalore|north-2|prakashnagara|33190|GULPS MARIYAPPANAPALYA SLUM|Lower Primary|co-ed|urdu|#222, 3rd Cross, Bangalore|Mariyappanapalya|560021|Near Anjaneya Swamy Temple|
 bangalore|north-2|prakashnagara|33187|GKLPS MARIYAPPANA PALYA|Lower Primary|co-ed|kannada|#5, Gayathri Nagar Post Office Building, Corporation Building, 7th Cross, 14th Main Road, Bangalore|Mariyappanapalya (Gayathri Nagar)|560021|Building Inside Gayathri Nagar Post Office|
 bangalore|north-1|heggnahalli|32276|GUHPS KAREEMSAB LAYOUT|Upper Primary|co-ed|urdu|North 1, Vishwaneedam Post, Sri Ganda Nagar Main Road, 9th Cross|Karim Sab Layout|560091|Behind Masjid|0
 bangalore|north-1|heggnahalli|32273|GKLPS SHUSHRUTHINAGAR|Lower Primary|co-ed|kannada|Hegganahalli Main Road,Vishwaneedam Post,Yeshwanthpura Hobli,Bangalore|Hegganahalli|560091|Inside G.K.M.P.S Hegganahalli|248,248 N,265 A
 bangalore|north-1|byadarahalli|32023|GKMPS ANDRAHALLI|Model Primary|co-ed|kannada|Vishwaneedam Post, North 1|Andra Halli|560091|opposite Andra Halli Bus Stop|
 bangalore|north-1|chikkabidarakallu|32158|GKHPS THIGALARAPALYA|Upper Primary|co-ed|kannada|Peenya Post, Yeshwanthpura Hobli|Thigalarapalya|560058|Near Thigalarapalya Bus Stop|243 B, 243 C, 243 D
 bangalore|north-2|jalahalli|32164|GKLPS POORNAPURA|Lower Primary|co-ed|kannada|BEL Road, Gokul Post|Sanjeevappa Nagar|560054|Near Gowri Apartment|0
 bangalore|north-2|hebbal|32035|GUHPS BHOOPASANDRA|Upper Primary|co-ed|urdu|1st Main Road, Nagashettyhalli Main Road, Bhoopasandra, Bangalore|Bhoopasandra|560094|Infront Bhoopasandra Bus Stop|279E, 287Q
 bangalore|north-4|mathahalli|33241|GKLPS MAKALI|Lower Primary|co-ed|kannada|Tumkur Road, Haro Kyathahalli Road, Makali Post, Dasanapura Hoblli, Bangalore North|Makali|562123|Near Makali Bus Stop|258, 258C, 257
 bangalore|north-4|khudregere|32674|GKLPS THAMMENAHALLI|Upper Primary|co-ed|kannada|Chikka Banavara Post, Dasanapura Hobli, Bangalore North|Thammenahalli|560090|Infront Aswath Katte|250B, 250E
 bangalore|north-4|hunasamaranahalli|32474|GKLPS BILLAMARANAHALLI|Lower Primary|co-ed|kannada|Vidya Nagar Post, Chikkajala Hobli, Bangalore|Bilmaranahalli|562157|Near Bilmaranahalli Bus Stop|282 D
 bangalore|north-4|hunasamaranahalli|32477|GKLPS SUBHASHNAGAR (HUNASEMARANAHALLI)|Lower Primary|co-ed|kannada|Devanahalli Road, Bettahalasuru Post, Chikkajala Hobli, Bangalore|Subhashnagar|562157|Near N.R.V.Hospital|0
 bangalore|north-4|rajanakunte|32773|GKLPS ADDIGANAHALLI|Lower Primary|co-ed|kannada|Arajankunte Post, Hesaraghatta Hobli, North 4|Addiganahalli|560064|Behind Addiganahalli Bus Stop|285N, 285Z
 bangalore|north-4|rajanakunte|32768|GKHPS RAJANKUNTE|Upper Primary|co-ed|kannada|Rajankunte Post, Hesaraghatta Hobli, North 4|Rajankunte|560064|Behind Rajankunte Bus Stop|285
 bangalore|north-4|bagalur|32046|GKLPS HUNACHUR|Lower Primary|girls|kannada|B.K.Halli Post, Chikajala Hobli, Bangalore North|Hunasur|562149|Opp Ashwath Katte|293F
 bangalore|north-4|rajanakunte|32772|GKLPS ADDE VISHWANATHAPURA|Lower Primary|co-ed|kannada|Arakere Post, Hesaraghatta Hobli, North 4|Adde Vishwanathapura|561203|Oppsoite Adde Vishwanathapura Bus Stop|285F
 bangalore|north-4|rajanakunte|32771|GKLPS ADDE|Lower Primary|co-ed|kannada|Arakere Post, Hesaraghatta Hobli, North 4|Adde|562110|Opposite Aswath Katte|285K, 285M
 bangalore|anekal|nerlooru|33405|GKHPS TIRUMAGONDANAHALLI|Upper Primary|co-ed|kannada|Hosur Main Road, Neralur Post, Attibele Hobli, Anekla Taluk, Bangalore|Tirumagondanahalli|562107|Behind Ramanamaharshi Ashram|360, 360A, 360B
 bangalore|north-4|hesarghatta|32371|GKLPS DASENAHALLI|Lower Primary|co-ed|kannada|Hesaraghatta Post, Hesaraghatta Hobli, N-4|Dasanahalli|560088|Near Dasanahalli Bus Stop|407 D
 bangalore|north-4|hesarghatta|32377|GKLPS LINGANAHALLI|Lower Primary|co-ed|kannada|Kakolu Post, Hesaraghatta Hobli|Linganahalli|560089|Near Linganhalli Bus Stop|285 D, 285 H, 266 C, 266 H, 251 B
 bangalore|north-4|hesarghatta|32379|GKLPS MADHUGIRIHALLI|Lower Primary|co-ed|kannada|Shivakote Post, Hesaraghatta Hobli|Madhugiri Halli|560089|Near Madhugiri Halli Bus Stop|266 E
 bangalore|north-4|hesarghatta|32380|GKLPS MAVALIPURA|Lower Primary|co-ed|kannada|Shivakote Post, Hesaraghatta Hobli|Mavallipura|560089|Near Mavallipura Bus Stop|407, 266 B, 266 K
 bangalore|north-4|hesarghatta|32381|GKLPS MUTHUGADAHALLI|Lower Primary|co-ed|kannada|Shivakote Post, Hesaraghatta Hobli|Muttugadahalli|560089|Near Muttugadahalli Bus Stop|266 G
 bangalore|north-4|hesarghatta|32382|GKLPS SEETHAKEMPANAHALLI|Lower Primary|co-ed|kannada|Kakolu Post, Hesaraghatta Hobli|Seethakempanahalli|560089|Behind Tower|285 Y
 bangalore|north-4|kakolu|32579|GKLPS CHANNASANDRA|Lower Primary|co-ed|kannada|Dodda Tumkur Post, Hesaraghatta Hobli|Channasandra Yelahanka 2|560089|Opposite Channasandra Bus Stop|285R, A
 bangalore|north-4|kakolu|32582|GKLPS KADATHANAMALE|Lower Primary|co-ed|kannada|Harker Post, Hesaraghatta Hobli, Doddaballapura Main Road|Kadathanamale|560089|Kadathanamale Gate Bus Stop|
 bangalore|north-4|kakolu|32583|GKLPS KAKKEHALLI|Lower Primary|co-ed|kannada|Dodda Tumkur Post, Hesaraghatta Hobli|Kakkehalli|561203|Near Milk Dairy|285
 bangalore|north-4|kakolu|32584|GKLPS KARLAPURA|Lower Primary|co-ed|kannada|Byatha Post, Hesaraghatta Hobli|Karlapura|560089|Karlapura Gate Stop, Madurai Main Road|285L, 406, 409
 bangalore|north-4|yelehanka new town|32882|GKMPS DODDABETTAHALLI|Lower Primary|co-ed|kannada|Vidyaranyapura Post|Dodda Bettana Halli|560097|Opposite Dodda Bettana Halli Bus Stop|271 E
 bangalore|north-4|maralukunte|33197|GKLPS MANCHAPPANAHALLI|Lower Primary|co-ed|kannada|Bagalur To Budigere Main Road, Budigere Post, Chikkajala Hobli, Bangalore North|Manchappanahalli|562149|Near Muneshwara Temple|289
 bangalore|north-4|agrahara layout|33220|GKHPS KOGILU LAYOUT|Lower Primary|co-ed|kannada|Bande Road, Yelahanka Post|Kogilu Layout|560064|Infront Raithara Seva Sahakara Bank|290E
 bangalore|north-4|yelehanka new town|32883|GKHPS YELAHANKA UPPANAGARA|Upper Primary|co-ed|kannada|6th B Main, 3rd Stage, Yelahanka New Town Post, Bangalore North|Yelahanka Upanagara|560106|Near Yelahanka Upanagara Bus Stop|401
 bangalore|north-4|yelehanka new town|32884|GKLPS AMBEDKAR NAGARA|Lower Primary|co-ed|kannada|15th Cross, Yelahanaka Upanagara|Ambedkarnagar|560064|Near Shree Clinic|401
 bangalore|north-4|yelehanka new town|32888|GKLPS LBS NAGARA|Lower Primary|co-ed|kannada|Dodda Ballapura Main Road, Yelahanka Post|L.B.S Nagar|560064|Near Yelahanka NES Bus Stop|284D
 bangalore|north-4|yelehanka new town|32890|GKLPS VEERASAGARA|Lower Primary|co-ed|kannada|Vidyaranyapura Post|Veera Sagara|560097|Near Veera Sagara Bus Stop|271 E
 bangalore|north-4|yelehanka old town|32937|GKLPS KENCHANAHALLI|Lower Primary|co-ed|kannada|Singanayakanahalli Post, Dodda Ballapur Main Road, Yelahanka Hobli|Kenchanahalli|560064|Anathpura Gate|285 A - Z
 bangalore|north-4|maralukunte|33194|GKLPS DASANAYAKANAHALLI|Lower Primary|co-ed|kannada|Bagaluru Post, Chikkajala Hobli, Bangalore North -4|Dasanayakana Halli|562149|Near Dasanayakana Halli Bus Stop And Anjaneya Temple|293H
 bangalore|south-1|vajara halli|32874|GKLPS VADERAHALLI (VAJARA HALLI)|Lower Primary|co-ed|kannada|Thatguni Post, Kengeri Hobli|Vaderahalli|560062|Vaderahalli Bus Stop|212, 213
 bangalore|south-1|doddagollarahatti|33035|GKLPS SONNENAHALLI (RAMASANDRA)|Lower Primary|co-ed|kannada|Janabharathi Post, Kengeri Hobli, South-1|Sonenahalli|560056|Near Sonenahalli Bus Stop|223 A, 235 J
 bangalore|south-3|konanakunte|32457|GKHPS  HARINAGAR|Upper Primary|co-ed|kannada|Harinagar, Bommanahalli, Beside Ram Nagar|Harinagar Bommanahalli||Next to Ram Mandir|
 bangalore|south-3|konanakunte|32459|GKLPS VADDARAPALYA (KONANAKUNTE)|Lower Primary|co-ed|kannada|8th Phase, J P Nagar, 40 Feet Road, Vaddarapalya, Gottigere Post||560083|SRGVVK School|215 BB
 bangalore|south-3|konanakunte|32461|GKMPS KONANAKUNTE|Model Primary|co-ed|kannada|Konnankunte Post, Uttarahalli Hobli, Bangalore South|Konnankunte|560062|Near Konnankunte Post Office|215
 bangalore|south-3|yellukunte|32640|GKHPS GARVEBAVIPALYA|Upper Primary|co-ed|kannada|Bommanahalli Post, S-3|Garvehavipalya|560068|Near Garvebhavipalya Bus Stop|360, 365,341, 347
 bangalore|south-4|doddakanneli|32193|GKLPS HADUSIDDAPURA|Lower Primary|co-ed|kannada|Karmela Ram Post, Sarjapura Main Road|Hadu Siddapura|560035|Behind Hadu Siddapura Bus Stop|342 A-Z
 bangalore|south-4|doddakanneli|32199|GKHPS MULLURU|Upper Primary|co-ed|kannada|Karmel Ram Post|Muluru|560035|Near Muluru Bus Stop|342 D
 bangalore|south-4|kylasanahalli|32598|GKLPS BYRATHI|Lower Primary|co-ed|kannada|Rampura Main Road, Kothanur Post, KR Puram Hobli, Bangalore|Byrathi|560077|Infront Veternary Hospital|294, 294 D, 295, 295 A
 bangalore|south-4|immadihalli|33344|GKLPS A.K.G. COLONY|Lower Primary|co-ed|kannada|Channasandra, Kadugodi Post, Bidarahalli Hobli, Bangalore South - 4|A.K.G.Colony|560067|Near M.V.J Collage|304, 305, 306
 bangalore|north-4|chikkajala|33252|GKLPS BHOVIPALYA|Lower Primary|co-ed|kannada|Sadahalli Post, Jala Hobli, Bangalore|Bhovipalya|562110|Beside Muneshwara Swamy Temple|297 F
 bangalore|south-4|kylasanahalli|32604|GKLPS NAGARESHWARA NAGENAHALLI|Lower Primary|co-ed|kannada|Kothanur Post, K.R. Puram Hobli, Bangalore|Nageshwara Nagenahalli|560077|Beside Rama Temple & Opposite Nageshwara Nagenahalli Bus Stop|292, 296, 292 D
 bangalore|south-4|immadihalli|33342|GKHPS KADUGODI PLANTATION|Upper Primary|co-ed|kannada|K.Anjanappanavara Beedi, Kadugodi Post, Bidarahalli Hobli, Bangalore South|Kadugodi (Dinnuru)|560067|Infront Ambedkar Statue|319
 bangalore|south-4|varthur|32896|GKHPS BALAGERE|Upper Primary|co-ed|kannada|Panathur Post, Varthur Hobli|Balagere|560103|Opposite Balagere Bus Stop|504, 332, 327D
 bangalore|south-4|varthur|32905|GKLPS THUBARA HALLI|Lower Primary|co-ed|kannada|White Field Post, Varthur Main Road|Thubara Halli|560066|Near Thubara Halli Bus Stop|500, 600, 504
 bangalore|south-4|rammurthynagar|33327|GKLPS DASARAHALLI|Lower Primary|co-ed|kannada|Dasarahalli Main Road, HA Farm Post, Bangalore|Dasarahalli|560024|Near Dasarahalli Bus Stop|291 B, 291 D, 291 F
 bangalore|north-1|machohalli|32763|GKLPS KACHOHALLI|Lower Primary|co-ed|kannada|North - 1, Laxmipura Post, Dasanpura Hobli|Kacho Halli|562123|Near Kacho Halli Bus Stop|240C, 240R
 bangalore|north-4|hesarghatta|32369|GKHPS MATHKUR|Upper Primary|co-ed|kannada|Kakolu Post, Hesaraghatta Hobli|Mathkuru|560089|Near Mathkuru Bus Stop|251 G, 251 B
 bangalore|north-4|hesarghatta|32376|GKLPS KONDASHETTIHALLI|Lower Primary|co-ed|kannada|Shivakote Post, Hesaraghatta Hobli|Konda Shetty Halli|560089|Next Ashwath Katte|266 M
 bangalore|north-4|mathahalli|33246|GKLPS BOMMASHETTIHALLI|Lower Primary|co-ed|kannada|Huskuru Post, Dasanpura Hobli, N-4|Bomshettyhalli|562123|Opposite Bomshettyhalli Bus Stop|255 F
 bangalore|north-4|mathahalli|33247|GKLPS CHIKKAKUKKANAHALLI|Lower Primary|co-ed|kannada|Railway Gollahalli Post, Dasanapura Hobli, N-4|Chikakukkanahalli|562123|Near Chikakukkanahalli Cross Stop|407 D, 253 Q, 253 H, 253 N, 253 T
 bangalore|north-4|mathahalli|33250|GKLPS SHAMABATTARA PALYA|Lower Primary|co-ed|kannada|Railway Gollahalli Post, Dasanapura Hobli, N-4|Shammabhattarapalya|562123|Near Shmmabhattarapalya Cross Stop|407, 253 E
 bangalore|south-1|kumbalagodu|31983|GKLPS GANGASANDRA|Lower Primary|co-ed|kannada|G.Gollahalli Post, Kengeri Post, S-1|Gangasandra|560060|Opposite Gangasandra Bus Stop|228 D, 229 D, 219
 bangalore|south-1|kumbalagodu|31996|GULPS ANCHEPALYA (ANCHEPALYA)|Lower Primary|co-ed|urdu|Kumbalagudu Post, Kengeri Hobli, S-1|Anchepalya|560060|Behind Anchepalya Bus Stop|226 M, 226 N, 228
 bangalore|south-1|taverekere|32237|GKLPS CHIKKAVEERAYANAPALYA|Lower Primary|co-ed|kannada|Dodda Aladamara Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Chikka Veeranarayana Palya|562130|Near Basaveshwara Swamy Temple|374, 377
 bangalore|south-1|srinagara|32637|GKLPS GUTTAHALLI (CHAMARAJPET)|Lower Primary|co-ed|kannada|Corporartion Building, Kempegowda Main Road, Police Station Road|Guttahalli(Chamarajpet)|560019|Beside Granthalaya Library|35
 bangalore|south-2|byatarayanapura|31997|GKHPS ANCHEPALYA|Upper Primary|co-ed|kannada|2nd Main Road,1st Cross,Mysore Road,Bangalore|Anchepalya|560026|Opp Mysore Road Tolgate Bus Stop|222,234,225,60
 bangalore|south-2|byatarayanapura|31998|GKHPS AZADNAGAR|Upper Primary|co-ed|kannada|2nd Main Road,2nd Cross,Bangalore|Azad Nagar|560018|Near Mysore Tolgate Bus Stop|222,234,225,60
 bangalore|south-2|byatarayanapura|32000|GKHPS DEEPANJALI NAGAR|Upper Primary|co-ed|kannada|1st Main Road, 5th Cross, Mysore Road, Bangalore|Deepanjali Nagar|560026|Near Deepanjali Nagar Bus Depot|59, 60 A, 60 E, 248
 bangalore|south-2|byatarayanapura|32002|GUHPS VALMIKINAGAR|Upper Primary|co-ed|urdu|1st Main Road,6th Cross,Mysore Road,Bangalore|Valmiki Nagar|560026|Near Mysore Road,Tolgate Bus Stop|222,234,225,60
 bangalore|south-2|byatarayanapura|32004|GULPS ROSHAN NAGAR|Lower Primary|co-ed|urdu|2nd Cross, Mysore Road, Bangalore|Roshan Nagar|560026|Near Siddaruda Ashrama|222, 223, 224, 225, 226
 bangalore|south-2|chamarajpet|32122|GUMPS NEW GUDDADAHALLI|Lower Primary|co-ed|urdu|Mysore Road, Bangalore|Byatarayanapura|560026|Compound Inside Roshan Mosque & Beside Satellite Bus Stand|222, 223, 224, 225, 226
 bangalore|south-3|beratena agrahara|33104|GKHPS BASAPURA|Lower Primary|co-ed|kannada|Electronic City Post,Begur Hobli|Basapura|560100|Near Hosa Road Bus Stop|356360355
 bangalore|south-2|hosahalli|32251|GKHPS BAPUJINAGAR|Lower Primary|co-ed|kannada|3rd Main Road, 7th Cross, Mysore Road, Bangalore|Bapuji Nagar|560026|Near Ganapathi Temple|222, 223, 224, 225, 226
 bangalore|south-2|hosahalli|32252|GKMPS NEW GUDDADAHALLI|Model Primary|co-ed|kannada|C Cross, 1st Main Road, Kuvempunagar, Mysore Road, Bangalore|New Guddadahalli|560026|Near Guddadahalli Bus Stop|222, 223, 224, 225, 226
 bangalore|south-2|hosahalli|32255|GULPS RASOOLNAGAR|Lower Primary|co-ed|urdu|1st Main Road, 12th Cross, Rasool Nagar, Bangalore|Bapujinagar|560026|Building Inside Hira Masjid|222, 223, 224, 225, 226
 bangalore|south-2|kalasipalya|32438|GUHPS TIPPUNAGAR|Upper Primary|co-ed|urdu|Mysore Road,Tippu Nagar Main Road|Tippu Nagar|560018|Near Vinayaka Theatre Bus Stop|155,T4,56
 bangalore|south-2|arundhathinagar|33079|GKHPS PANTHARAPALYA|Upper Primary|co-ed|kannada|Mysore Road, 2nd Cross, Nayandahalli Post, Bangalore|Pantharapalya|560039|Beside BBMP Office|222, 223, 224, 225, 226
