 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|busroutes
 bangalore|anekal|chikkahosahalli|32517|GKHPS SURAGAJAKKANAHALLI|Upper Primary|co-ed|kannada|Kasaba Hobli, Anekal Taluk, Sidihosakote Post|Suragajakkanahalli|562106|Opposite Suragajakkanahalli Bus Stop|316, 365P
 bangalore|north-1|laggere|32658|GKHPS CHOKKASANDRA|Model Primary|co-ed|kannada|T.Dasarahalli Post, N-4|Chokkasandra|560057|Near T.Dasarahalli Bus Stop|250, 251, 258
 bangalore|north-1|mallasandra|33282|GKMPS MALLASANDRA(MALLASANDRA)|Upper Primary|co-ed|kannada|T.Dasarahalli Post, N-4|Mallasandra|560057|Near Bagalagunte Bus Stop|250, 251, 253, 254
 bangalore|north-3|banaswadi|32508|GKLPS KACHARKANAHALLI|Lower Primary|co-ed|kannada|Hennur Main Road, St. Thomas Town Post|Kacharakanahalli|560084|Beside Ganesha Temple|292293294295296
 bangalore|north-4|bagalur|32051|GULPS BAGLURU|Lower Primary|co-ed|urdu|Bagalur Post, Chikkajala Hobli, Bangalore|Bagalur|562149|Backside Bagalur GKMPS|289
 bangalore|north-4|t dasarahalli|32838|GULPS KALASTHRINAGAR|Upper Primary|co-ed|urdu|T. Dasarahalli Post, N-4, 5th Cross|Kalahasthi Nagar|560057|Near Jalahalli Cross Bus Stop|285 A, 285 H
 bangalore|north-4|mathahalli|33239|GKLPS HOCHENNAPALYA|Upper Primary|co-ed|kannada|Huskuru Post, Dasanpura Hobli, N-4|Huchanapalya|562123|Near Pillahalli Bus Stop|255 C, 255 K
 bangalore|north-4|mathahalli|33251|GKLPS THOTTAGERE|Lower Primary|co-ed|kannada|Railway Gollahalli Post, Dasanapura Hobli, N-4|Thottagere|562123|Near Thottagere Bus Stop|407, 253 E
 bangalore|south-1|kumbalagodu|31976|GKHPS DEVAGERE|Upper Primary|co-ed|kannada|Kumbalgudu Post, Kengeri Hobli, S-1|Devagere|560074|Opposite Devagere Bus Stop|228 D, 229 D, 219
 bangalore|south-1|kumbalagodu|31990|GKLPS KULLEGOWDANAPALYA|Lower Primary|co-ed|kannada|K.Gollahalli Post, Kengeri Post, S-1|Kullegowdanapalya|560060|Near Kullegowdanapalya Bus Stop|288 A, 288 B, 288 C, 288 D
 bangalore|south-1|taverekere|32232|GKHPS DEVAMACHOHALLI|Upper Primary|co-ed|kannada|Magadi Main Road, Thavarekere Post, Thavarekere Hobli, Bangalore|Devamachohalli|562130|Beside Karimariyamma Temple|242Z, 242R, 242E, 242PA
 bangalore|south-1|taverekere|32240|GKLPS JOGARAHALLI|Lower Primary|co-ed|kannada|Magadi Main Road, Thavarekere Post, Thavarekere, Bangalore|Jogerahalli|562130|Opposite Gangadareshwara Temple|242R
 bangalore|south-1|kengeri|32417|GKLPS CHOODENAPURA|Lower Primary|co-ed|kannada|Vidyapeeta Post, Kengeri Hobli, Bangalore|Chodenapura|560060|Near Chodena Pu College|224, 224A, 224B, 224C, 224D
 bangalore|south-1|ramasandra|32540|GKLPS HALEBHAIROHALLI|Lower Primary|co-ed|kannada|Sulikere Post, Kengeri Hobli, S-1|Halebairohalli|560060|Opposite Halebairohalli Bus Stop|230
 bangalore|south-1|ramasandra|32545|GKLPS MARAGONDANAHALLI (RAMASANDRA)|Lower Primary|co-ed|kannada|Sulikere Post, Kengeri Hobli, S-1|Maragondanahalli|560060|Opposite Maragondanahalli Bus Stop|221
 bangalore|south-1|ramasandra|32546|GKHPS GULAGANJANAHALLI|Upper Primary|co-ed|kannada|Ramohalli Post, Kengeri Hobli, Bangalore|Gulaganjanahalli|560060|Near Gulaganjanahalli Bus Stop|221, 242 K, 227 J, 221 J
 bangalore|south-1|veerabadra nagara|32925|GKHPS BANGARAPPANAGAR|Upper Primary|co-ed|kannada|2nd Main Road, 4th Cross, Raja Rajeshwari Nagar Post, Bangalore|Bangarappa Nagar|560098|Opposite Ganesha Temple And Neare B.G.S. Global College|225G, 225P, 239D
